PROJECT	timepoint	proj_max_capacity_factor
Oahu_Wind	2020062200	0.166
Oahu_Wind	2020062201	0.46259999999999996
Oahu_Wind	2020062202	0.439
Oahu_Wind	2020062203	0.335
Oahu_Wind	2020062204	0.5090999999999999
Oahu_Wind	2020062205	0.732
Oahu_Wind	2020062206	0.7440000000000001
Oahu_Wind	2020062207	0.6139999999999999
Oahu_Wind	2020062208	0.5353
Oahu_Wind	2020062209	0.43200000000000005
Oahu_Wind	2020062210	0.395
Oahu_Wind	2020062211	0.49199999999999994
Oahu_Wind	2020062212	0.45599999999999996
Oahu_Wind	2020062213	0.429
Oahu_Wind	2020062214	0.32799999999999996
Oahu_Wind	2020062215	0.38299999999999995
Oahu_Wind	2020062216	0.40700000000000003
Oahu_Wind	2020062217	0.33299999999999996
Oahu_Wind	2020062218	0.419
Oahu_Wind	2020062219	0.4150999999999999
Oahu_Wind	2020062220	0.415
Oahu_Wind	2020062221	0.32799999999999996
Oahu_Wind	2020062222	0.33299999999999996
Oahu_Wind	2020062223	0.364
Oahu_Wind	2020062300	0.457
Oahu_Wind	2020062301	0.446
Oahu_Wind	2020062302	0.41
Oahu_Wind	2020062303	0.3095
Oahu_Wind	2020062304	0.30699999999999994
Oahu_Wind	2020062305	0.139
Oahu_Wind	2020062306	0.336
Oahu_Wind	2020062307	0.418
Oahu_Wind	2020062308	0.426
Oahu_Wind	2020062309	0.3747
Oahu_Wind	2020062310	0.39880000000000004
Oahu_Wind	2020062311	0.34299999999999997
Oahu_Wind	2020062312	0.23800000000000002
Oahu_Wind	2020062313	0.3
Oahu_Wind	2020062314	0.314
Oahu_Wind	2020062315	0.304
Oahu_Wind	2020062316	0.25
Oahu_Wind	2020062317	0.2773
Oahu_Wind	2020062318	0.2922
Oahu_Wind	2020062319	0.49129999999999996
Oahu_Wind	2020062320	0.659
Oahu_Wind	2020062321	0.784
Oahu_Wind	2020062322	0.75
Oahu_Wind	2020062323	0.672
Oahu_Wind	2020062400	0.7729999999999998
Oahu_Wind	2020062401	0.6979999999999998
Oahu_Wind	2020062402	0.433
Oahu_Wind	2020062403	0.40490000000000004
Oahu_Wind	2020062404	0.5920000000000001
Oahu_Wind	2020062405	0.5089999999999999
Oahu_Wind	2020062406	0.512
Oahu_Wind	2020062407	0.5289999999999999
Oahu_Wind	2020062408	0.597
Oahu_Wind	2020062409	0.47600000000000003
Oahu_Wind	2020062410	0.48100000000000004
Oahu_Wind	2020062411	0.507
Oahu_Wind	2020062412	0.4089999999999999
Oahu_Wind	2020062413	0.368
Oahu_Wind	2020062414	0.40399999999999997
Oahu_Wind	2020062415	0.365
Oahu_Wind	2020062416	0.48100000000000004
Oahu_Wind	2020062417	0.6674
Oahu_Wind	2020062418	0.47090000000000004
Oahu_Wind	2020062419	0.455
Oahu_Wind	2020062420	0.6729999999999998
Oahu_Wind	2020062421	0.632
Oahu_Wind	2020062422	0.5804
Oahu_Wind	2020062423	0.429
Oahu_Wind	2020062500	0.344
Oahu_Wind	2020062501	0.38799999999999996
Oahu_Wind	2020062502	0.44689999999999996
Oahu_Wind	2020062503	0.44689999999999996
Oahu_Wind	2020062504	0.4059999999999999
Oahu_Wind	2020062505	0.581
Oahu_Wind	2020062506	0.48599999999999993
Oahu_Wind	2020062507	0.27699999999999997
Oahu_Wind	2020062508	0.204
Oahu_Wind	2020062509	0.304
Oahu_Wind	2020062510	0.22699999999999998
Oahu_Wind	2020062511	0.28800000000000003
Oahu_Wind	2020062512	0.275
Oahu_Wind	2020062513	0.156
Oahu_Wind	2020062514	0.218
Oahu_Wind	2020062515	0.2812
Oahu_Wind	2020062516	0.371
Oahu_Wind	2020062517	0.5671999999999999
Oahu_Wind	2020062518	0.5491999999999999
Oahu_Wind	2020062519	0.4489999999999999
Oahu_Wind	2020062520	0.3589
Oahu_Wind	2020062521	0.573
Oahu_Wind	2020062522	0.5745
Oahu_Wind	2020062523	0.6039999999999999
Oahu_Wind	2020062600	0.43700000000000006
Oahu_Wind	2020062601	0.40700000000000003
Oahu_Wind	2020062602	0.344
Oahu_Wind	2020062603	0.285
Oahu_Wind	2020062604	0.26499999999999996
Oahu_Wind	2020062605	0.45799999999999996
Oahu_Wind	2020062606	0.36200000000000004
Oahu_Wind	2020062607	0.37
Oahu_Wind	2020062608	0.38299999999999995
Oahu_Wind	2020062609	0.23999999999999996
Oahu_Wind	2020062610	0.22999999999999995
Oahu_Wind	2020062611	0.223
Oahu_Wind	2020062612	0.247
Oahu_Wind	2020062613	0.156
Oahu_Wind	2020062614	0.23899999999999996
Oahu_Wind	2020062615	0.14400000000000002
Oahu_Wind	2020062616	0.21
Oahu_Wind	2020062617	0.38799999999999996
Oahu_Wind	2020062618	0.455
Oahu_Wind	2020062619	0.5409999999999999
Oahu_Wind	2020062620	0.48310000000000003
Oahu_Wind	2020062621	0.44299999999999995
Oahu_Wind	2020062622	0.3297
Oahu_Wind	2020062623	0.319
Oahu_Wind	2020062700	0.27299999999999996
Oahu_Wind	2020062701	0.201
Oahu_Wind	2020062702	0.2514
Oahu_Wind	2020062703	0.214
Oahu_Wind	2020062704	0.12099999999999998
Oahu_Wind	2020062705	0.17
Oahu_Wind	2020062706	0.179
Oahu_Wind	2020062707	0.12299999999999998
Oahu_Wind	2020062708	0.092
Oahu_Wind	2020062709	0.109
Oahu_Wind	2020062710	0.065
Oahu_Wind	2020062711	0.084
Oahu_Wind	2020062712	0.086
Oahu_Wind	2020062713	0.044000000000000004
Oahu_Wind	2020062714	0.0628
Oahu_Wind	2020062715	0.013999999999999999
Oahu_Wind	2020062716	0.004
Oahu_Wind	2020062717	0.002
Oahu_Wind	2020062718	0.0
Oahu_Wind	2020062719	0.006
Oahu_Wind	2020062720	0.037000000000000005
Oahu_Wind	2020062721	0.127
Oahu_Wind	2020062722	0.125
Oahu_Wind	2020062723	0.078
Oahu_Wind	2020062800	0.10300000000000001
Oahu_Wind	2020062801	0.11199999999999999
Oahu_Wind	2020062802	0.098
Oahu_Wind	2020062803	0.09300000000000001
Oahu_Wind	2020062804	0.12599999999999997
Oahu_Wind	2020062805	0.09300000000000001
Oahu_Wind	2020062806	0.22899999999999998
Oahu_Wind	2020062807	0.26399999999999996
Oahu_Wind	2020062808	0.21199999999999997
Oahu_Wind	2020062809	0.0739
Oahu_Wind	2020062810	0.065
Oahu_Wind	2020062811	0.07200000000000001
Oahu_Wind	2020062812	0.06199999999999999
Oahu_Wind	2020062813	0.09699999999999999
Oahu_Wind	2020062814	0.075
Oahu_Wind	2020062815	0.059000000000000004
Oahu_Wind	2020062816	0.051
Oahu_Wind	2020062817	0.171
Oahu_Wind	2020062818	0.13399999999999998
Oahu_Wind	2020062819	0.175
Oahu_Wind	2020062820	0.18
Oahu_Wind	2020062821	0.10399999999999998
Oahu_Wind	2020062822	0.10599999999999998
Oahu_Wind	2020062823	0.077
Oahu_Central_PV	2020062200	0.0
Oahu_Central_PV	2020062201	0.0
Oahu_Central_PV	2020062202	0.0
Oahu_Central_PV	2020062203	0.0
Oahu_Central_PV	2020062204	0.0
Oahu_Central_PV	2020062205	0.0
Oahu_Central_PV	2020062206	0.0
Oahu_Central_PV	2020062207	0.13484211397278598
Oahu_Central_PV	2020062208	0.47740764755494997
Oahu_Central_PV	2020062209	0.528071035383919
Oahu_Central_PV	2020062210	0.555074931059719
Oahu_Central_PV	2020062211	0.465957295164802
Oahu_Central_PV	2020062212	0.735910696841671
Oahu_Central_PV	2020062213	0.788407440829527
Oahu_Central_PV	2020062214	0.61788712353965
Oahu_Central_PV	2020062215	0.786059057628863
Oahu_Central_PV	2020062216	0.534918096091034
Oahu_Central_PV	2020062217	0.519801991461745
Oahu_Central_PV	2020062218	0.41353944047185603
Oahu_Central_PV	2020062219	0.030053365766947504
Oahu_Central_PV	2020062220	0.0
Oahu_Central_PV	2020062221	0.0
